,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
98430,abreujo02,2014,1,CHA,AL,145,556,80,176,35,2,36,107.0,3.0,1.0,51,131.0,15.0,11.0,0.0,4.0,14.0
98434,ackledu01,2014,1,SEA,AL,143,502,64,123,27,4,14,65.0,8.0,4.0,32,90.0,1.0,3.0,3.0,2.0,10.0
98441,adducji02,2014,1,TEX,AL,44,101,13,17,3,0,1,8.0,3.0,1.0,10,27.0,0.0,0.0,1.0,2.0,2.0
98450,almonab01,2014,1,SEA,AL,27,106,10,21,5,1,1,8.0,3.0,1.0,6,40.0,0.0,1.0,0.0,0.0,1.0
98455,altuvjo01,2014,1,HOU,AL,158,660,85,225,47,3,7,59.0,56.0,9.0,36,53.0,7.0,5.0,1.0,5.0,20.0
98466,andruel01,2014,1,TEX,AL,157,619,72,163,35,1,2,41.0,27.0,15.0,46,96.0,0.0,3.0,9.0,7.0,21.0
98468,aokino01,2014,1,KCA,AL,132,491,63,140,22,6,1,43.0,17.0,8.0,43,49.0,0.0,6.0,8.0,1.0,5.0
98470,arciaos01,2014,1,MIN,AL,103,372,46,86,16,3,20,57.0,1.0,2.0,31,127.0,4.0,6.0,0.0,1.0,6.0
98472,arencjp01,2014,1,TEX,AL,63,203,20,36,9,0,10,35.0,0.0,0.0,10,62.0,0.0,7.0,0.0,2.0,6.0
98480,avilaal01,2014,1,DET,AL,124,390,44,85,22,0,11,47.0,0.0,3.0,61,151.0,1.0,3.0,1.0,2.0,6.0
98482,avilemi01,2014,1,CLE,AL,113,344,38,85,16,1,5,39.0,14.0,5.0,13,49.0,0.0,1.0,11.0,5.0,10.0
98486,aybarer01,2014,1,LAA,AL,156,589,77,164,30,4,7,68.0,16.0,9.0,36,62.0,4.0,5.0,3.0,8.0,10.0
98508,bautijo02,2014,1,TOR,AL,155,553,101,158,27,0,35,103.0,6.0,2.0,104,96.0,11.0,9.0,1.0,6.0,18.0
98513,beckhgo01,2014,1,CHA,AL,101,390,43,86,24,0,7,36.0,3.0,0.0,19,70.0,1.0,5.0,3.0,5.0,12.0
98526,beltrad01,2014,1,TEX,AL,148,549,79,178,33,1,19,77.0,1.0,1.0,57,74.0,13.0,3.0,0.0,5.0,15.0
98527,beltrca01,2014,1,NYA,AL,109,403,46,94,23,0,15,49.0,3.0,1.0,37,80.0,2.0,4.0,0.0,5.0,11.0
98537,bettsmo01,2014,1,BOS,AL,52,189,34,55,12,1,5,18.0,7.0,3.0,21,31.0,0.0,2.0,1.0,0.0,2.0
98547,bloomwi01,2014,1,SEA,AL,47,133,15,37,6,0,1,14.0,1.0,1.0,4,32.0,1.0,0.0,1.0,1.0,1.0
98550,bogaexa01,2014,1,BOS,AL,144,538,60,129,28,1,12,46.0,2.0,3.0,39,138.0,1.0,8.0,2.0,7.0,11.0
98558,bournmi01,2014,1,CLE,AL,106,444,57,114,17,10,3,28.0,10.0,6.0,35,114.0,1.0,3.0,3.0,2.0,5.0
98562,bradlja02,2014,1,BOS,AL,127,384,45,76,19,2,1,30.0,8.0,0.0,31,121.0,1.0,5.0,1.0,2.0,10.0
98563,brantmi02,2014,1,CLE,AL,156,611,94,200,45,2,20,97.0,23.0,1.0,52,56.0,4.0,8.0,0.0,5.0,16.0
98595,butlebi03,2014,1,KCA,AL,151,549,57,149,32,0,9,66.0,0.0,0.0,41,96.0,3.0,5.0,0.0,8.0,21.0
98602,cabreas01,2014,1,CLE,AL,97,378,54,93,22,2,9,40.0,7.0,2.0,27,79.0,1.0,7.0,0.0,4.0,11.0
98605,cabreme01,2014,1,TOR,AL,139,568,81,171,35,3,16,73.0,6.0,2.0,43,67.0,3.0,3.0,2.0,5.0,19.0
98606,cabremi01,2014,1,DET,AL,159,611,101,191,52,1,25,109.0,1.0,1.0,60,117.0,10.0,3.0,0.0,11.0,21.0
98608,cainlo01,2014,1,KCA,AL,133,471,55,142,29,4,5,53.0,28.0,5.0,24,108.0,2.0,4.0,0.0,3.0,9.0
98610,calhoko01,2014,1,LAA,AL,127,493,90,134,31,3,17,58.0,5.0,3.0,38,104.0,0.0,2.0,2.0,2.0,5.0
98611,callaal01,2014,1,OAK,AL,127,404,37,90,15,0,4,39.0,0.0,1.0,40,50.0,1.0,1.0,0.0,6.0,18.0
