,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
98429,abreubo01,2014,1,NYN,NL,78,133,12,33,9,0,1,14.0,1.0,0.0,20,21.0,0.0,0.0,0.0,2.0,3.0
98438,adamsma01,2014,1,SLN,NL,142,527,55,152,34,5,15,68.0,3.0,2.0,26,114.0,5.0,3.0,0.0,7.0,9.0
98448,alcanar01,2014,1,CHN,NL,70,278,31,57,11,2,10,29.0,8.0,5.0,17,93.0,0.0,2.0,1.0,2.0,3.0
98453,alonsyo01,2014,1,SDN,NL,84,267,27,64,19,1,7,27.0,6.0,1.0,17,36.0,1.0,1.0,0.0,3.0,8.0
98459,alvarpe01,2014,1,PIT,NL,122,398,46,92,13,1,18,56.0,8.0,3.0,45,113.0,6.0,2.0,0.0,0.0,12.0
98461,amarial01,2014,1,SDN,NL,148,423,39,101,13,2,5,40.0,12.0,1.0,29,69.0,5.0,1.0,8.0,5.0,6.0
98471,arenano01,2014,1,COL,NL,111,432,58,124,34,2,18,61.0,2.0,1.0,25,58.0,1.0,4.0,1.0,5.0,13.0
98473,ariasjo01,2014,1,SFN,NL,107,193,18,49,9,0,0,15.0,1.0,0.0,8,23.0,2.0,0.0,1.0,2.0,1.0
98477,ascheco01,2014,1,PHI,NL,121,397,43,100,25,0,10,46.0,0.0,1.0,33,102.0,4.0,0.0,3.0,1.0,6.0
98488,baezja01,2014,1,CHN,NL,52,213,25,36,6,0,9,20.0,5.0,1.0,15,95.0,0.0,1.0,0.0,0.0,5.0
98491,bakerje03,2014,1,MIA,NL,90,208,27,55,10,4,3,28.0,1.0,0.0,13,51.0,1.0,1.0,0.0,3.0,8.0
98492,bakerjo01,2014,1,CHN,NL,68,182,9,35,7,0,0,15.0,0.0,0.0,19,58.0,3.0,2.0,3.0,2.0,3.0
98495,barmecl01,2014,1,PIT,NL,48,102,15,25,5,0,0,7.0,1.0,1.0,9,18.0,2.0,4.0,0.0,1.0,2.0
98496,barnebr02,2014,1,COL,NL,132,292,37,75,17,4,8,27.0,5.0,4.0,15,100.0,0.0,0.0,6.0,0.0,11.0
98497,barneda01,2014,1,CHN,NL,72,204,18,47,10,2,2,16.0,1.0,0.0,9,31.0,2.0,1.0,2.0,1.0,1.0
98525,beltbr01,2014,1,SFN,NL,61,214,30,52,8,0,12,27.0,3.0,1.0,18,64.0,2.0,2.0,0.0,1.0,4.0
98535,bethach01,2014,1,ATL,NL,31,113,7,28,3,0,0,9.0,1.0,1.0,3,26.0,0.0,1.0,0.0,0.0,3.0
98540,blackch02,2014,1,COL,NL,154,593,82,171,27,3,19,72.0,28.0,10.0,31,96.0,5.0,13.0,6.0,5.0,3.0
98543,blancgr01,2014,1,SFN,NL,146,393,51,102,18,6,5,38.0,16.0,5.0,41,77.0,1.0,3.0,6.0,1.0,4.0
98552,bonifem01,2014,1,CHN,NL,69,276,35,77,14,3,2,18.0,14.0,6.0,16,49.0,2.0,0.0,6.0,0.0,1.0
98553,bonifem01,2014,2,ATL,NL,41,118,12,25,3,1,1,6.0,12.0,2.0,10,36.0,0.0,0.0,0.0,0.0,1.0
98556,bourjpe01,2014,1,SLN,NL,119,264,32,61,9,5,4,24.0,9.0,3.0,20,78.0,1.0,4.0,5.0,1.0,5.0
98564,braunry02,2014,1,MIL,NL,135,530,68,141,30,6,19,81.0,11.0,5.0,41,113.0,3.0,6.0,0.0,3.0,17.0
98575,browndo01,2014,1,PHI,NL,144,473,47,111,22,1,10,63.0,7.0,1.0,34,91.0,4.0,1.0,0.0,4.0,9.0
